Test File,CB functon,Total Time (in s),Azure Operation,Time per hit
gcp-compute,"get",0.790459,"vm_type = self.provider.get_resource('machineTypes', vm_type_id)",0.1580734
gcp-compute,"find",0.348102,"for inst_type in self.instance_data:",0.0059958
gcp-compute,"get",1.44253,"region = self.provider.get_resource('regions', region_id,region=region_id)",0.3606095
gcp-compute,"get",1.366,"image = self.provider.get_resource('images', image_id)",0.27317759999999996
gcp-compute,"create",241.941,"self.provider.wait_for_operation(operation, zone=zone_name)",43.8655072
gcp-compute,"get",245.431,"instance = self.provider.get_resource('instances', instance_id)",0.3385043
gcp-compute,"find",0.38114,"instances = [instance for instance in self.list()",0.190512
gcp-compute,"list",0.96113,"response = (self.provider.gcp_compute.instances().list(project=self.provider.project_name,zone=self.provider.default_zone,maxResults=max_result,pageToken=marker)",0.17113420000000001
gcp-compute,"delete",2.73658,"(self._provider.gcp_compute.instances().delete(project=self.provider.project_name,zone=instance.zone_name,instance=instance.name)",0.6627378
gcp-compute,"create_launch_config",2e-05,"return GCPLaunchConfig(self.provider)",1e-05
gcp-compute,"get",3.9701,"network = self.provider.get_resource('networks', network_id)",0.28354640000000003
gcp-compute,"create",22.9287,"self.provider.wait_for_operation(response)",13.926261
gcp-compute,"delete",25.4765,"self.provider.wait_for_operation(response)",16.367108
gcp-compute,"get",0.397005,"router = self.provider.get_resource('routers', router_id, region=self.provider.region_name)",0.396986
gcp-compute,"create",13.7372,"cb_router.label = label",10.216949
gcp-compute,"delete",10.9667,"if not helpers.remove_metadata_item(self.provider, tag_name):",10.348188
gcp-compute,"get",0.672234,"subnet = self.provider.get_resource('subnetworks', subnet_id)",0.336107
gcp-compute,"list",0.864771,"response = (self.provider.gcp_compute.subnetworks().list(project=self.provider.project_name,region=region_name,filter=filter)",0.2067292
gcp-compute,"create",25.7981,"self.provider.wait_for_operation(response, region=region_name)",16.362161
gcp-compute,"delete",22.513,"self.provider.wait_for_operation(response, region=sn.region_name)",14.504569
gcp-compute,"get_or_create_default",9.36634,"for sn in self.find(label=GCPSubnet.CB_DEFAULT_SUBNET_LABEL):",2.6787277
gcp-compute,"get",14.5569,"vol = self.provider.get_resource('disks', volume_id)",0.3234672
gcp-compute,"create",19.7516,"operation = (self.provider.gcp_compute.disks().insert(project=self._provider.project_name,zone=zone_name,body=disk_body)",0.9785919000000001
gcp-compute,"delete",0.405631,"(self._provider.gcp_compute.disks().delete(project=self.provider.project_name,zone=volume.zone_name,disk=volume.name)",0.396718
gcp-compute,"get",0.680198,"snapshot = self.provider.get_resource('snapshots', snapshot_id)",0.340077
gcp-compute,"create",13.1326,"self.provider.wait_for_operation(operation,zone=self.provider.default_zone)",11.986182
